Batch,Category,Full Name,Username/Handle,Platform,Company,Role/Title,Notes
Second,Journalist,Rajesh N Naidu,rajeshnnaidu,LinkedIn,,Journalist,Film critic
Second,Journalist,Gayle Sequeira,gayle-sequeira-2a046ab9,LinkedIn,,Journalist,Mumbai critic
Second,Journalist,Ankur Pathak,ankur-pathak-journalist,LinkedIn,,Journalist,Film & entertainment writer
Second,Journalist,Sanjukta Sharma,sanjukta-sharma-7a75265,LinkedIn,,Journalist,Senior Mumbai writer
Second,Artist Platform,Showcase Curate,showcasecurate,Instagram,Showcase Curate,Creator Network,Artists/filmmakers
Second,Artist Platform,TalentRack,talentrack,Instagram,TalentRack,Artist Platform,Actors/models network
Second,Artist Platform,Filmy Dosty,filmydosty,Instagram,Filmy Dosty,Artist Platform,Creator connections
Second,Artist Platform,Models Mafia,modelsmafia,Instagram,Models Mafia,Artist Platform,Model/talent platform
Third,Director,Ayan Mukerji,ayanmukerji,Instagram,,Film Director,Brahmastra, Yeh Jawani Hai Deewani
Third,Director,Zoya Akhtar,zoyaakhtar,Instagram,,Film Director,Gully Boy, Made in Heaven
Third,Actor,Alia Bhatt,aliaabhatt,Instagram,,Actress,Top Bollywood star
Third,Actor,Ranveer Singh,ranveersingh,Instagram,,Actor,Younger superstar
Third,Music,Triya Music,triyamusic,Instagram,,Music Label,Original scores
Third,Agency,Modash,modash_io,Instagram,,Creator tools,Influencer platform
Third,Producer,Namit Malhotra,namitmalhotra,LinkedIn,Prime Focus,Producer,Visual effects
Third,Agency,Bright Data,brightdata,Instagram,,Web data/creative platform,Creator contacts
Third,Web Series,TVF,thescreenpatti,Instagram,TVF,Web Series Studio,Leading digital content
Third,Production,Emmay Entertainment,emmayentertainment,Instagram,Emmay Entertainment,Production House,Nikkhil Advani films
Third,VFX,Redefine,RedefineVFX,Instagram,Redefine,VFX Studio,Bollywood effects
Third,Studio,Applause Entertainment,applauseent,Instagram,Applause Entertainment,Studio,Web/OTT production
Third,Producer,Ritesh Sidhwani,ritesh_sidwani,Instagram,Excel Entertainment,Producer,Top films/series
Third,Studio,Sikhya Entertainment,sikhyaent,Instagram,Sikhya Entertainment,Production House,Indie films/documentaries
